model_regression_type,ame_std_error,coeff_std_error,coeff_95_ci_lower,ame_over_sd,model_dispersion_p-value,model_qaic,model_dispersion_alpha,variable,model_fit_rmse,model_num_data,avg_marginal_effect,coefficient,vif,model_dependent_mean,ame_95_ci_upper,coeff_p-value,model_dependent_std_dev,ame_z-statistic,coeff_z-statistic,coeff_95_ci_upper,corrected_coeff_p-value,ame_std_error_over_sd,ame_p-value,model_fit_rmse_over_dep_std_dev,dependent_variable,corrected_ame_p-value,independent_variables,ame_95_ci_lower
quasi-Poisson,,0.028030134645839106,-1.5856694371356597,,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,(Intercept),2.2062035836876803,5313,,-1.5307313827480067,,1.5891210239036326,,0.0,2.901821301624689,,-54.610204413528706,-1.4757933283603537,,,,0.7602823724715432,citations_next_year,,hub,
quasi-Poisson,0.2611808085405519,0.16950332644527755,-0.36388537182630193,-0.01707528201207902,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,ad_hoc_this_year,2.2062035836876803,5313,-0.04954941707389978,-0.031664956733822296,,1.5891210239036326,0.46235556111863335,0.8518094195652725,2.901821301624689,-0.18971308554704375,-0.1868102378748597,0.3005554583586573,0.8819619653905918,0.09000582096296572,0.8495339662473608,0.7602823724715432,citations_next_year,0.8819619653905918,hub,-0.5614543952664327
quasi-Poisson,0.0399325464738448,0.025738154330528982,0.6171526075339974,0.3229114467587506,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,current_year,2.2062035836876803,5313,0.9370313147429892,0.6675984630503677,8.43772812178137,1.5891210239036326,1.0152976676426975,2.478005254075455e-148,2.901821301624689,23.465353389289362,25.93808609883516,0.7180443185667381,3.3453070930018644e-147,0.01376120109514915,9.215180593250214e-122,0.7602823724715432,citations_next_year,1.0107901213221328e-120,hub,0.858764961843282
quasi-Poisson,0.04737794714776318,0.027256435582409224,-0.20013754091160296,-0.08431664625490831,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,hub,2.2062035836876803,5313,-0.24467184018404653,-0.1467159088231449,1.9471276588860615,1.5891210239036326,-0.15181277011298827,7.333649586482801e-08,2.901821301624689,-5.164255838712464,-5.382798802857131,-0.09329427673468682,1.9649702327140941e-07,0.016326969245568958,2.413973435230557e-07,0.7602823724715432,citations_next_year,6.230181439455334e-07,hub,-0.3375309102551043
quasi-Poisson,,0.06637081681884867,-0.671235023109352,,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,lagged_citations_next_year,2.2062035836876803,5313,,-0.5411506125199034,1.3994248553037816,1.5891210239036326,,3.537096219303177e-16,2.901821301624689,,-8.153442106896323,-0.41106620193045473,1.4108190601993352e-15,,,0.7602823724715432,citations_next_year,,hub,
quasi-Poisson,0.03358313217067915,0.02127517235121134,-0.012444357088701612,0.015935860406865506,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,num_votes_this_year,2.2062035836876803,5313,0.04624301918835981,0.029254214484554945,1.746460427675518,1.5891210239036326,0.11206474873093927,0.1691190222820383,2.901821301624689,1.3769715985197408,1.3750400702577295,0.0709527860578115,0.2300805303139358,0.011573122077460947,0.1685210289686557,0.7602823724715432,citations_next_year,0.2300805303139358,hub,-0.019578710354219875
quasi-Poisson,0.12774570996119666,0.07968109464231739,-0.18121530343385236,-0.013778673570616164,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,seniority,2.2062035836876803,5313,-0.0399832484753471,-0.025043227686182862,43.10822210344333,1.5891210239036326,0.21039374222809795,0.7532983483458195,2.901821301624689,-0.31299092930394445,-0.314293218467945,0.13112884806148664,0.8120927811400822,0.044022597080555455,0.7542875535520076,0.7602823724715432,citations_next_year,0.8120927811400822,hub,-0.29036023917879217
quasi-Poisson,0.14123848811303483,0.0679322586843755,-0.4325288053337475,-0.18175538699200636,1.0474129783838911e-37,7772.3645984230125,1.0568774623316015,seniority_squared,2.2062035836876803,5313,-0.527421653658443,-0.2993840249239132,23.52824436679625,1.5891210239036326,-0.25059930372600564,1.0476548160024278e-05,2.901821301624689,-3.7342629527182507,-4.4070965800636905,-0.16623924451407893,2.435277088853326e-05,0.0486723589884592,0.00018826571648823868,0.7602823724715432,citations_next_year,0.0004182358638441252,hub,-0.8042440035908791
quasi-Poisson,,0.028194818441317566,-1.6177106685361253,,2.8946177408762918e-36,7648.498387038363,1.08038114958525,(Intercept),2.237097711655588,5313,,-1.5624498398404971,,1.5891210239036326,,0.0,2.901821301624689,,-55.41620504109487,-1.507189011144869,,,,0.770928833695951,citations_next_year,,in_degree,
quasi-Poisson,0.2611883602832224,0.17123102016519148,-0.3776895202522954,-0.02257876101717641,2.8946177408762918e-36,7648.498387038363,1.08038114958525,ad_hoc_this_year,2.237097711655588,5313,-0.06551952968393564,-0.04208288769246843,,1.5891210239036326,0.446400249652252,0.8058628138069913,2.901821301624689,-0.2508516444334994,-0.24576672878471353,0.29352374486735855,0.8494229659046666,0.09000842337775475,0.8019288113226313,0.770928833695951,citations_next_year,0.8478223276332638,in_degree,-0.5774393090201234
