model_regression_type,ame_std_error,coeff_std_error,coeff_95_ci_lower,ame_over_sd,model_dispersion_p-value,model_qaic,model_dispersion_alpha,variable,model_fit_rmse,model_num_data,avg_marginal_effect,coefficient,vif,model_dependent_mean,ame_95_ci_upper,coeff_p-value,model_dependent_std_dev,ame_z-statistic,coeff_z-statistic,coeff_95_ci_upper,corrected_coeff_p-value,ame_std_error_over_sd,ame_p-value,model_fit_rmse_over_dep_std_dev,dependent_variable,corrected_ame_p-value,independent_variables,ame_95_ci_lower
quasi-Poisson,,0.03003992876917231,-1.6816119075106533,,4.678923877817347e-33,7366.203480575906,1.1041417030181304,(Intercept),2.2538555696022526,5313,,-1.622734729024927,,1.5891210239036326,,0.0,2.901821301624689,,-54.01926021509798,-1.5638575505392007,,,,0.7767037785339678,citations_next_year,,hub,
quasi-Poisson,0.2644676561784792,0.17262276014946687,-0.3758963538423139,-0.02019735784515735,4.678923877817347e-33,7366.203480575906,1.1041417030181304,ad_hoc_this_year,2.2538555696022526,5313,-0.05860912323161413,-0.03756196103746284,,1.5891210239036326,0.45973795795392697,0.827744177072482,2.901821301624689,-0.22161168620203994,-0.2175956461647323,0.3007724317673882,0.86727822732072,0.09113850533470393,0.8246161844178137,0.7767037785339678,citations_next_year,0.8665876668582413,hub,-0.5769562044171552
quasi-Poisson,0.059790096733571316,0.033341978910519474,0.6907522591883037,0.3780503586240826,4.678923877817347e-33,7366.203480575906,1.1041417030181304,current_year,2.2538555696022526,5313,1.097034583742216,0.756101337026216,8.816726045402708,1.5891210239036326,1.2142210199721803,7.529731495344666e-114,2.901821301624689,18.348098492475696,22.677158397087947,0.8214504148641282,7.341488207961049e-113,0.020604334491615896,3.4186880084245785e-75,0.7767037785339678,citations_next_year,2.499915606160473e-74,hub,0.9798481475122489
quasi-Poisson,0.059526428089879485,0.038185508215953914,0.004061609239659536,0.04267551893904126,4.678923877817347e-33,7366.203480575906,1.1041417030181304,hub,2.2538555696022526,5313,0.12383672991519777,0.07890383007428753,1.8698958197601836,1.5891210239036326,0.240506385099675,0.03879740747192238,2.901821301624689,2.080365543321625,2.066329185094399,0.15374605090891552,0.05935239649917303,0.02051347133489973,0.037492017193418804,0.7767037785339678,citations_next_year,0.057972238039163,hub,0.007167074730720674
quasi-Poisson,,0.06957988062893093,-0.6720306179069682,,4.678923877817347e-33,7366.203480575906,1.1041417030181304,lagged_citations_next_year,2.2538555696022526,5313,,-0.5356565578256675,1.385566694849326,1.5891210239036326,,1.3773704676522859e-14,2.901821301624689,,-7.698440310386856,-0.3992824977443667,5.3127146609445315e-14,,,0.7767037785339678,citations_next_year,,hub,
quasi-Poisson,0.03402175814587066,0.021413746314612566,-0.04124240076763874,0.0003984890597495625,4.678923877817347e-33,7366.203480575906,1.1041417030181304,num_votes_this_year,2.2538555696022526,5313,0.001156344042045674,0.0007277707830791851,1.694431359149834,1.5891210239036326,0.06783776469868437,0.9728881954388622,2.901821301624689,0.033988368181555116,0.03398614947551519,0.04269794233379712,0.9784634859571365,0.011724277482842363,0.9728864261897229,0.7767037785339678,citations_next_year,0.9784634859571365,hub,-0.06552507661459302
quasi-Poisson,0.1352463611571471,0.0795484424442122,-0.2886889280921421,-0.07510755489568197,4.678923877817347e-33,7366.203480575906,1.1041417030181304,seniority,2.2538555696022526,5313,-0.21794870270923564,-0.1327768458752288,41.638165083556316,1.5891210239036326,0.047129294198869603,0.09509123508218971,2.901821301624689,-1.6114940235323152,-1.6691319376661082,0.023135236341684462,0.1367910799747893,0.04660740517737069,0.10707208879371906,0.7767037785339678,citations_next_year,0.15277359010811134,hub,-0.4830266996173408
quasi-Poisson,0.12161488440166937,0.06666929059883647,-0.3253108560800932,-0.11226487976550124,4.678923877817347e-33,7366.203480575906,1.1041417030181304,seniority_squared,2.2538555696022526,5313,-0.32577261952786607,-0.19464144763153893,22.676551469392248,1.5891210239036326,-0.08741182611659265,0.0035058573905614662,2.901821301624689,-2.6787232593331667,-2.919506805655674,-0.06397203918298466,0.006991795136858378,0.04190984618300889,0.007390344578937148,0.7767037785339678,citations_next_year,0.013510473683369472,hub,-0.5641334129391404
quasi-Poisson,,0.028321424098508952,-1.6475436727965715,,2.5021628215904e-35,7507.534400920757,1.096478800367166,(Intercept),2.24829369059043,5313,,-1.5920347015726093,,1.5891210239036326,,0.0,2.901821301624689,,-56.2130878742226,-1.536525730348647,,,,0.7747870929652497,citations_next_year,,in_degree,
quasi-Poisson,0.2610882849644432,0.17217624153589708,-0.38552157499438355,-0.025712365539948177,2.5021628215904e-35,7507.534400920757,1.096478800367166,ad_hoc_this_year,2.24829369059043,5313,-0.07461269003898223,-0.04806234259055605,,1.5891210239036326,0.43711094527665667,0.7801326335171838,2.901821301624689,-0.2857757101171487,-0.2791461943983457,0.2893968898132715,0.8297774374682773,0.08997393630623068,0.7750499131427989,0.7747870929652497,citations_next_year,0.8268769590064511,in_degree,-0.5863363253546214
quasi-Poisson,0.038195589195547094,0.02320134632939138,0.6705023883630301,0.35281762229330876,2.5021628215904e-35,7507.534400920757,1.096478800367166,current_year,2.24829369059043,5313,1.0238136919592973,0.7159761915614777,17.095352352905504,1.5891210239036326,1.0986756711508592,4.2092908683773753e-209,2.901821301624689,26.804500559416823,30.859251932913985,0.7614499947599254,9.234131842502867e-208,0.013162626235516955,2.8635765944385718e-158,0.7747870929652497,citations_next_year,4.1879807693664105e-157,in_degree,0.9489517127677403
quasi-Poisson,0.044422802538688244,0.027913266795689128,-0.05581013455294642,-0.000603517054978268,2.5021628215904e-35,7507.534400920757,1.096478800367166,in_degree,2.24829369059043,5313,-0.0017512986460297367,-0.0011011369425379775,15.41462583038479,1.5891210239036326,0.08531579442213368,0.968532800079537,2.901821301624689,-0.039423416487613855,-0.039448515668113596,0.05360786066787046,0.9784634859571365,0.0153085934388229,0.9685528107618339,0.7747870929652497,citations_next_year,0.9784634859571365,in_degree,-0.08881839171419316
quasi-Poisson,,0.06938403162261664,-0.6647756501857147,,2.5021628215904e-35,7507.534400920757,1.096478800367166,lagged_citations_next_year,2.24829369059043,5313,,-0.528785447103198,1.4025790679042427,1.5891210239036326,,2.5144424961749046e-14,2.901821301624689,,-7.62114040849182,-0.3927952440206812,9.593144740841212e-14,,,0.7747870929652497,citations_next_year,,in_degree,
quasi-Poisson,0.03436273547740544,0.021652794357778823,-0.03813710485779431,0.002353638152456129,2.5021628215904e-35,7507.534400920757,1.096478800367166,num_votes_this_year,2.24829369059043,5313,0.006829837327113773,0.004301592248104262,1.72087176194458,1.5891210239036326,0.07417956127310521,0.8425269771078421,2.901821301624689,0.19875709055830557,0.19866222239158263,0.04674028935400283,0.8775280978185537,0.011841782076024538,0.8424527630127956,0.7747870929652497,citations_next_year,0.8775280978185537,in_degree,-0.06051988661887764
quasi-Poisson,0.1374843771099832,0.0806249669352786,-0.2926271700021278,-0.07618579694937082,2.5021628215904e-35,7507.534400920757,1.096478800367166,seniority,2.24829369059043,5313,-0.2210775684689375,-0.13460513855424905,43.550907323376336,1.5891210239036326,0.04838685910355217,0.09501401707185364,2.901821301624689,-1.6080195664128611,-1.6695217830266256,0.023416892893629665,0.1367910799747893,0.04737865044722348,0.10783089354489418,0.7747870929652497,citations_next_year,0.1532333750374812,in_degree,-0.49054199604142784
